date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,yml083c,rec487,GAL1p-nsp4,pWJ2754,pWJ1781,1,3,4,4,0.088631801,0.943162991,4,0.055037596,0.989057208,0.953602706,-0.068539765,0.287945373,-0.275177369
4/26/20,MATa-deletion-384,ybr206w,rec3346,GAL1p-nsp4,pWJ2754,pWJ1781,3,6,19,4,0.057331143,1.005619359,4,0.039950322,1.054471321,0.953676001,-0.068428883,0.287945373,-0.274792287
4/26/20,MATa-deletion-384,yal066w,rec340,GAL1p-nsp4,pWJ2754,pWJ1781,1,2,8,4,0.097759978,1.170161097,4,0.083561227,1.226960065,0.953711338,-0.068375426,0.287945373,-0.27460664
4/26/20,MATa-deletion-384,ypl260w,rec1031,GAL1p-nsp4,pWJ2754,pWJ1781,2,11,17,4,0.101797942,0.974755973,4,0.084932372,1.022068294,0.953713766,-0.068371754,0.287945373,-0.274593885
4/26/20,MATa-deletion-384,kap122,rec4384,GAL1p-nsp4,pWJ2754,pWJ1781,7,15,6,4,0.104393923,0.88868682,4,0.01936417,0.931695896,0.953842814,-0.068176553,0.287945373,-0.273915977
4/26/20,MATa-deletion-384,yol013w-a,rec6235,GAL1p-nsp4,pWJ2754,pWJ1781,8,15,7,4,0.043504723,1.230192666,4,0.130241138,1.28963214,0.953913319,-0.068069918,0.287945373,-0.273545646
4/26/20,MATa-deletion-384,cbs1,rec3766,GAL1p-nsp4,pWJ2754,pWJ1781,12,13,20,4,0.063442386,0.392669081,4,0.012821827,0.411611348,0.953991389,-0.06795185,0.287945373,-0.27313561
4/26/20,MATa-deletion-384,rpl4a,rec3168,GAL1p-nsp4,pWJ2754,pWJ1781,11,4,7,4,0.028869941,0.852078389,4,0.08798262,0.893065129,0.95411068,-0.067771462,0.287945373,-0.272509143
4/26/20,MATa-deletion-384,pck1,rec6013,GAL1p-nsp4,pWJ2754,pWJ1781,9,15,7,4,0.132393353,1.119302795,4,0.013921905,1.173102582,0.954142799,-0.067722896,0.287945373,-0.27234048
4/26/20,MATa-deletion-384,ynl200c,rec2012,GAL1p-nsp4,pWJ2754,pWJ1781,7,13,17,4,0.092251798,0.861336214,4,0.030081102,0.902727876,0.954153318,-0.067706991,0.287945373,-0.272285243
4/26/20,MATa-deletion-384,lea1,rec1079,GAL1p-nsp4,pWJ2754,pWJ1781,3,2,16,4,0.089391589,1.214578412,4,0.103607518,1.272914215,0.954175058,-0.067674121,0.287945373,-0.272171088
4/26/20,MATa-deletion-384,gto1,rec4784,GAL1p-nsp4,pWJ2754,pWJ1781,4,2,3,4,0.089684028,1.167111173,4,0.059818995,1.222785387,0.954473073,-0.067223597,0.287945373,-0.270606474
4/26/20,MATa-deletion-384,mdj2,rec1116,GAL1p-nsp4,pWJ2754,pWJ1781,2,10,20,4,0.024054866,0.896793045,4,0.048944173,0.939539038,0.954508071,-0.067170699,0.287945373,-0.270422764
4/26/20,MATa-deletion-384,snz1,rec6536,GAL1p-nsp4,pWJ2754,pWJ1781,9,10,15,4,0.050581225,1.046281085,4,0.074957209,1.096136768,0.954521063,-0.067151061,0.287945373,-0.270354564
4/26/20,MATa-deletion-384,ynl042w-b,rec7596,GAL1p-nsp4,pWJ2754,pWJ1781,14,10,5,4,0.016648022,1.004235289,4,0.070364305,1.052064032,0.954542503,-0.067118657,0.287945373,-0.270242029
4/26/20,MATa-deletion-384,gdt1,rec3327,GAL1p-nsp4,pWJ2754,pWJ1781,3,4,21,4,0.030128011,0.984814604,4,0.069025352,1.031654175,0.954602005,-0.067028729,0.287945373,-0.269929718
4/26/20,MATa-deletion-384,mpm1,rec1357,GAL1p-nsp4,pWJ2754,pWJ1781,9,15,8,4,0.056151394,1.080446619,4,0.084191667,1.131828493,0.954606784,-0.067021506,0.287945373,-0.269904634
4/26/20,MATa-deletion-384,sma2,rec7113,GAL1p-nsp4,pWJ2754,pWJ1781,12,8,21,4,0.087549692,0.828436147,4,0.125035663,0.867665335,0.95479286,-0.066740317,0.287945373,-0.268928098
4/26/20,MATa-deletion-384,epo1,rec6565,GAL1p-nsp4,pWJ2754,pWJ1781,9,14,7,4,0.055390413,0.887081814,4,0.055351729,0.92902196,0.954860452,-0.066638189,0.287945373,-0.26857342
4/26/20,MATa-deletion-384,env9,rec2502,GAL1p-nsp4,pWJ2754,pWJ1781,5,13,13,4,0.046091505,0.88928923,4,0.058704473,0.931327081,0.954867266,-0.066627894,0.287945373,-0.268537667
4/26/20,MATa-deletion-384,mad3,rec6781,GAL1p-nsp4,pWJ2754,pWJ1781,13,11,8,4,0.074389566,1.26881641,4,0.038793176,1.328726681,0.95491491,-0.066555911,0.287945373,-0.26828768
4/26/20,MATa-deletion-384,yol097w-a,rec7611,GAL1p-nsp4,pWJ2754,pWJ1781,14,12,7,4,0.077931821,0.949197283,4,0.035328821,0.993992142,0.954938927,-0.066519627,0.287945373,-0.268161667
4/26/20,MATa-deletion-384,phd1,rec4892,GAL1p-nsp4,pWJ2754,pWJ1781,5,14,20,4,0.094179745,0.927133548,4,0.076873946,0.970850082,0.954975508,-0.066464361,0.287945373,-0.267969737
4/26/20,MATa-deletion-384,nba1,rec1762,GAL1p-nsp4,pWJ2754,pWJ1781,2,7,19,4,0.056875061,0.918589668,4,0.100497743,0.961893647,0.954985172,-0.066449763,0.287945373,-0.267919039
4/26/20,MATa-deletion-384,atp23,rec5395,GAL1p-nsp4,pWJ2754,pWJ1781,14,9,10,4,0.018284363,0.64541396,4,0.057936022,0.675679724,0.955213567,-0.066104767,0.287945373,-0.26672091
4/26/20,MATa-deletion-384,ygp1,rec2052,GAL1p-nsp4,pWJ2754,pWJ1781,8,4,4,4,0.071943069,0.970435659,4,0.037744067,1.015891515,0.955259611,-0.066035228,0.287945373,-0.266479407
4/26/20,MATa-deletion-384,avt4,rec2975,GAL1p-nsp4,pWJ2754,pWJ1781,11,14,5,4,0.063097132,1.121582162,4,0.083081741,1.173793821,0.955522673,-0.065637988,0.287945373,-0.265099843
4/26/20,MATa-deletion-384,ydr089w,rec4024,GAL1p-nsp4,pWJ2754,pWJ1781,3,3,8,4,0.064025675,1.028644542,4,0.041870158,1.076467028,0.95557872,-0.065553368,0.287945373,-0.264805966
4/26/20,MATa-deletion-384,yfr016c,rec5695,GAL1p-nsp4,pWJ2754,pWJ1781,8,13,6,4,0.103838839,0.970974756,4,0.069883266,1.016088932,0.955604539,-0.065514388,0.287945373,-0.264670595
4/26/20,MATa-deletion-384,bul2,rec6511,GAL1p-nsp4,pWJ2754,pWJ1781,13,7,20,4,0.052062638,1.050630564,4,0.154197984,1.099173881,0.955840562,-0.065158104,0.287945373,-0.263433262
4/26/20,MATa-deletion-384,zta1,rec3183,GAL1p-nsp4,pWJ2754,pWJ1781,14,5,7,4,0.089835516,1.104932533,4,0.099071944,1.155924137,0.955890537,-0.065082677,0.287945373,-0.263171311
4/26/20,MATa-deletion-384,ybr072c-a,rec7453,GAL1p-nsp4,pWJ2754,pWJ1781,14,4,2,4,0.115470879,1.16204158,4,0.064668095,1.215498651,0.956024078,-0.064881141,0.287945373,-0.262471403
4/26/20,MATa-deletion-384,ygr018c,rec6888,GAL1p-nsp4,pWJ2754,pWJ1781,10,14,12,4,0.100255909,0.977739577,4,0.062255453,1.022507407,0.95622188,-0.064582678,0.287945373,-0.261434875
4/26/20,MATa-deletion-384,ydl085c-a,rec7467,GAL1p-nsp4,pWJ2754,pWJ1781,14,6,6,4,0.096081185,0.981293908,4,0.024969767,1.02612596,0.956313665,-0.064444204,0.287945373,-0.260953973
4/26/20,MATa-deletion-384,pex28,rec2844,GAL1p-nsp4,pWJ2754,pWJ1781,4,13,4,4,0.175828321,1.030601193,4,0.053547539,1.077406812,0.956561185,-0.064070844,0.287945373,-0.259657336
4/26/20,MATa-deletion-384,dbp1,rec2133,GAL1p-nsp4,pWJ2754,pWJ1781,3,14,14,4,0.03660385,1.094678328,4,0.04309084,1.144302504,0.95663748,-0.06395578,0.287945373,-0.259257732
4/26/20,MATa-deletion-384,rpa49,rec1196,GAL1p-nsp4,pWJ2754,pWJ1781,2,4,11,4,0.060533401,0.650802603,4,0.038492291,0.680268511,0.956691252,-0.063874688,0.287945373,-0.258976112
4/26/20,MATa-deletion-384,ymc2,rec3243,GAL1p-nsp4,pWJ2754,pWJ1781,12,14,21,4,0.130659607,0.953321436,4,0.093660609,0.996366953,0.956801862,-0.063707897,0.287945373,-0.258396867
4/26/20,MATa-deletion-384,ksp1,rec1910,GAL1p-nsp4,pWJ2754,pWJ1781,4,5,10,4,0.038095926,0.919717087,4,0.040093806,0.960907196,0.957138606,-0.063200235,0.287945373,-0.256633814
