date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,dgr2,rec4971,GAL1p-Orf8,pWJ2755,pWJ1781,5,8,23,4,0.084068177,1.089033466,4,0.073393248,1.192295372,0.913399608,-0.130681924,0.250512415,-0.591786478
4/26/20,MATa-deletion-384,vhs3,rec1830,GAL1p-Orf8,pWJ2755,pWJ1781,2,12,17,4,0.061460251,0.766945617,4,0.049786859,0.839653436,0.913417657,-0.130653416,0.250512415,-0.591672678
4/26/20,MATa-deletion-384,rme1,rec4674,GAL1p-Orf8,pWJ2755,pWJ1781,5,3,10,4,0.058091708,1.060598267,4,0.0404462,1.160716785,0.913751662,-0.130125969,0.250512415,-0.589567208
4/26/20,MATa-deletion-384,nyv1,rec2704,GAL1p-Orf8,pWJ2755,pWJ1781,1,14,13,4,0.057211716,0.964125493,4,0.084251157,1.055076462,0.913804968,-0.13004181,0.250512415,-0.589231258
4/26/20,MATa-deletion-384,rot2,rec3369,GAL1p-Orf8,pWJ2755,pWJ1781,3,10,15,4,0.063569373,0.788530447,4,0.051116671,0.862878618,0.91384703,-0.129975404,0.250512415,-0.588966177
4/26/20,MATa-deletion-384,osh6,rec5074,GAL1p-Orf8,pWJ2755,pWJ1781,8,8,10,4,0.037410811,0.986344988,4,0.04672541,1.079270188,0.913907943,-0.129879243,0.250512415,-0.588582321
4/26/20,MATa-deletion-384,mrpl17,rec6465,GAL1p-Orf8,pWJ2755,pWJ1781,9,2,17,4,0.085006283,0.735404209,4,0.062634773,0.804537135,0.914081859,-0.129604725,0.250512415,-0.587486495
4/26/20,MATa-deletion-384,yjl144w,rec1281,GAL1p-Orf8,pWJ2755,pWJ1781,6,12,8,4,0.04341768,0.866492828,4,0.042710297,0.947879848,0.914146888,-0.129502094,0.250512415,-0.587076812
4/26/20,MATa-deletion-384,mde1,rec6822,GAL1p-Orf8,pWJ2755,pWJ1781,10,15,22,4,0.181118505,0.972664109,4,0.047980118,1.063917855,0.91423664,-0.129360456,0.250512415,-0.586511416
4/26/20,MATa-deletion-384,app1,rec2982,GAL1p-Orf8,pWJ2755,pWJ1781,14,13,9,4,0.14258749,0.887812033,4,0.093490972,0.970978552,0.914356549,-0.129171248,0.250512415,-0.585756135
4/26/20,MATa-deletion-384,pex18,rec2854,GAL1p-Orf8,pWJ2755,pWJ1781,4,13,24,4,0.10877307,1.511407031,4,0.184755777,1.652796618,0.914459509,-0.129008803,0.250512415,-0.585107684
4/26/20,MATa-deletion-384,rad7,rec6850,GAL1p-Orf8,pWJ2755,pWJ1781,10,1,23,3,0.009474067,1.893419482,4,0.1458444,2.070504909,0.914476477,-0.128982035,0.250512415,-0.585000829
4/26/20,MATa-deletion-384,glg2,rec7003,GAL1p-Orf8,pWJ2755,pWJ1781,11,5,21,4,0.083504456,0.892069911,4,0.095878119,0.975286077,0.91468387,-0.128654885,0.250512415,-0.583694907
4/26/20,MATa-deletion-384,ylr235c,rec5144,GAL1p-Orf8,pWJ2755,pWJ1781,6,10,11,4,0.028802318,0.7393935,4,0.075135353,0.808200257,0.914874755,-0.12835384,0.250512415,-0.582493192
4/26/20,MATa-deletion-384,gos1,rec932,GAL1p-Orf8,pWJ2755,pWJ1781,4,12,5,4,0.063846042,0.450958892,4,0.035568246,0.492907321,0.914913172,-0.128293262,0.250512415,-0.582251373
4/26/20,MATa-deletion-384,vps55,rec6842,GAL1p-Orf8,pWJ2755,pWJ1781,13,4,23,4,0.085455802,1.492161477,4,0.073421549,1.630772381,0.915008124,-0.128143543,0.250512415,-0.581653721
4/26/20,MATa-deletion-384,ham1,rec6893,GAL1p-Orf8,pWJ2755,pWJ1781,10,14,18,4,0.051006484,0.997460357,4,0.111989479,1.089937761,0.915161284,-0.127902075,0.250512415,-0.580689828
4/26/20,MATa-deletion-384,tna1,rec5912,GAL1p-Orf8,pWJ2755,pWJ1781,8,15,8,4,0.041770926,1.02369314,4,0.091711604,1.118489262,0.91525386,-0.127756141,0.250512415,-0.580107285
4/26/20,MATa-deletion-384,tda8,rec5714,GAL1p-Orf8,pWJ2755,pWJ1781,10,3,6,4,0.120218221,0.991611215,4,0.034265719,1.083420326,0.915267754,-0.127734242,0.250512415,-0.580019866
4/26/20,MATa-deletion-384,mrpl15,rec5221,GAL1p-Orf8,pWJ2755,pWJ1781,6,3,8,4,0.056075371,0.708936105,4,0.052762395,0.774443682,0.915424297,-0.127487511,0.250512415,-0.579034962
4/26/20,MATa-deletion-384,mam33,rec1463,GAL1p-Orf8,pWJ2755,pWJ1781,8,5,10,4,0.027037213,1.150516671,4,0.066656676,1.256583162,0.915598065,-0.127213681,0.250512415,-0.577941884
4/26/20,MATa-deletion-384,yil166c,rec2325,GAL1p-Orf8,pWJ2755,pWJ1781,11,7,8,4,0.105611068,1.004469804,4,0.054200669,1.096958808,0.915693668,-0.127063049,0.250512415,-0.577340585
